"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Change","Sig","pSelected"
"ENSG00000204348.10",75.7190891248306,-0.14194736442092,0.323935891073126,-0.438195853971848,0.661244313809164,0.878346226048717,"Stable","Stable",0.878346226048717
"ENSG00000184292.7",12.4074434177265,-0.379261394665352,0.865658848522223,-0.438118775442305,0.661300184643522,0.878352983342695,"Stable","Stable",0.878352983342695
"ENSG00000126749.17",493.717125315315,-0.0488544676353825,0.111555992874636,-0.437936738103203,0.661432142989804,0.878405227285228,"Stable","Stable",0.878405227285228
"ENSG00000129518.10",499.094968673851,-0.0505198868695512,0.115346876993263,-0.437982268670369,0.661399137025217,0.878405227285228,"Stable","Stable",0.878405227285228
"ENSG00000178386.13",11.1151274397471,0.383413420776456,0.876989439950109,0.437192745215117,0.661971570630552,0.8785822590777,"Stable","Stable",0.8785822590777
"ENSG00000230532.1",9.37921512278954,0.251382724912258,0.576506640939337,0.436044803408794,0.662804223232011,0.8785822590777,"Stable","Stable",0.8785822590777
"ENSG00000158813.18",25.4588293702287,0.224021866583312,0.513603549758695,0.436176632129127,0.662708580866626,0.8785822590777,"Stable","Stable",0.8785822590777
"ENSG00000268812.3",26.6277203485441,0.2168360739525,0.496668028840239,0.436581501851105,0.662414880338025,0.8785822590777,"Stable","Stable",0.8785822590777
"ENSG00000242756.2",54.9016352801551,0.201334840674633,0.461814709153503,0.435964547434351,0.66286245201676,0.8785822590777,"Stable","Stable",0.8785822590777
"ENSG00000274026.2",23.3581010144237,0.198740515860753,0.454334580412413,0.437432069732288,0.661798030648329,0.8785822590777,"Stable","Stable",0.8785822590777
"ENSG00000170961.7",15.2998675050082,0.172907827639457,0.395453903888371,0.437238894190473,0.66193810548155,0.8785822590777,"Stable","Stable",0.8785822590777
"ENSG00000100697.17",908.121952550163,0.071662772852322,0.164243462810685,0.436320396720593,0.662604285238596,0.8785822590777,"Stable","Stable",0.8785822590777
"ENSG00000012211.13",280.949458734689,0.0684289182517904,0.156780554825513,0.436463044335744,0.662500806399448,0.8785822590777,"Stable","Stable",0.8785822590777
"ENSG00000174276.7",373.353688277389,0.0665363925608299,0.152143499889755,0.437326554266485,0.661874540220021,0.8785822590777,"Stable","Stable",0.8785822590777
"ENSG00000132549.20",483.908373149083,0.0552586279564674,0.126696590069673,0.436149291200968,0.662728416388457,0.8785822590777,"Stable","Stable",0.8785822590777
"ENSG00000231831.1",3677.0341708881,-0.026574744185426,0.0609243667723417,-0.436192374140364,0.662697160329916,0.8785822590777,"Stable","Stable",0.8785822590777
"ENSG00000117280.13",727.777067638087,-0.028480349210962,0.0652168676991556,-0.436702194014307,0.66232733789024,0.8785822590777,"Stable","Stable",0.8785822590777
"ENSG00000213399.3",449.143125322988,-0.0319945007929585,0.0733410187618883,-0.436242928351363,0.662660484719299,0.8785822590777,"Stable","Stable",0.8785822590777
"ENSG00000172113.10",573.924910259443,-0.0373362432637236,0.0853455136995331,-0.437471656625905,0.66176932698734,0.8785822590777,"Stable","Stable",0.8785822590777
"ENSG00000081721.12",364.487969814764,-0.0633774460375318,0.145119984662347,-0.436724453802782,0.662311192554052,0.8785822590777,"Stable","Stable",0.8785822590777
"ENSG00000196544.8",266.318589193528,-0.0649897977220638,0.148691205617312,-0.437078961410324,0.662054084382396,0.8785822590777,"Stable","Stable",0.8785822590777
"ENSG00000234171.5",164.55874799757,-0.0673740570826495,0.153956252912781,-0.437618192232946,0.661663081289445,0.8785822590777,"Stable","Stable",0.8785822590777
"ENSG00000115540.15",401.978420752791,-0.0776945540640177,0.177797835062324,-0.43698256526455,0.662123992160809,0.8785822590777,"Stable","Stable",0.8785822590777
"ENSG00000067141.17",150.198113722775,-0.103174434790067,0.236201330618908,-0.436807170051598,0.662251198676174,0.8785822590777,"Stable","Stable",0.8785822590777
