ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,10/169,168/18888,2.8076117977551137e-6,5.462649618003617e-4,4.597336912058527e-4,PCDH19/ROBO1/ROBO2/PCDH7/CDH11/CDH6/PCDH10/CADM3/PCDHB5/PTPRM,10
BP,GO:2000146,negative regulation of cell motility,15/169,396/18888,2.8704302762347215e-6,5.462649618003617e-4,4.597336912058527e-4,IGFBP5/BST2/THY1/ROBO1/APOD/CDH11/IFITM1/SLIT2/TMEFF2/SRGAP3/PTGER4/CXCL12/ATP1B2/PTPRM/ADGRB1,15
BP,GO:0060411,cardiac septum morphogenesis,7/169,72/18888,3.66223972569553e-6,6.471700772407672e-4,5.446549005583278e-4,ROBO1/ROBO2/SLIT2/SLIT3/BMP7/APLNR/SOX11,7
BP,GO:0050772,positive regulation of axonogenesis,7/169,78/18888,6.27909690008321e-6,0.001035632382053724,8.715827135694449e-4,NEFL/ROBO1/ROBO2/SLIT2/SEMA7A/PLXNA4/CXCL12,7
BP,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,12/169,279/18888,8.271678582080188e-6,0.0012790083007541491,0.0010764065944312247,PCDH19/ROBO1/ROBO2/PCDH7/CDH11/SLITRK2/TENM1/CDH6/PCDH10/CADM3/PCDHB5/PTPRM,12
BP,GO:0072132,mesenchyme morphogenesis,6/169,58/18888,1.2928001039474619e-5,0.0018814043865682474,0.0015833799415529907,ROBO1/ROBO2/BMP7/FOXF1/APLNR/LEF1,6
BP,GO:0034329,cell junction assembly,15/169,453/18888,1.4379264932678449e-5,0.0019763500801914715,0.0016632857331484198,THY1/GABRE/ROBO2/THBS2/GPM6A/APOD/CDH11/SLITRK2/SLITRK4/EPB41L3/APLNR/CDH6/UGT8/PCDHB5/ADGRB1,15
BP,GO:0042574,retinal metabolic process,4/169,18/18888,1.7161544919945352e-5,0.0022346137964181475,0.0018806391053546765,AKR1C1/CYP27C1/AKR1C3/BCO1,4
BP,GO:0003206,cardiac chamber morphogenesis,8/169,127/18888,1.8898683504476024e-5,0.0022977605545562102,0.001933783081696883,ROBO1/ROBO2/SLIT2/SLIT3/BMP7/FOXF1/APLNR/SOX11,8
BP,GO:0003180,aortic valve morphogenesis,5/169,38/18888,2.1361557297814404e-5,0.0022977605545562102,0.001933783081696883,ROBO1/ROBO2/CDH11/SLIT2/SLIT3,5
BP,GO:0048846,axon extension involved in axon guidance,5/169,38/18888,2.1361557297814404e-5,0.0022977605545562102,0.001933783081696883,SLIT2/SLIT3/SEMA7A/PLXNA4/CXCL12,5
BP,GO:1902284,neuron projection extension involved in neuron projection guidance,5/169,38/18888,2.1361557297814404e-5,0.0022977605545562102,0.001933783081696883,SLIT2/SLIT3/SEMA7A/PLXNA4/CXCL12,5
BP,GO:1901654,response to ketone,10/169,217/18888,2.6556442347890394e-5,0.0027375265986950346,0.0023038878493038253,NEFL/FOXP1/SLIT2/POSTN/SLIT3/PTGER4/AKR1C3/AKR1C2/PTGFR/KLF9,10
BP,GO:0071379,cellular response to prostaglandin stimulus,4/169,21/18888,3.2869620915510685e-5,0.0032527776857989373,0.0027375204282475848,PTGER4/AKR1C3/AKR1C2/PTGFR,4
BP,GO:0021537,telencephalon development,11/169,275/18888,3.867156290321963e-5,0.00362060049403508,0.0030470781505345657,NEFL/ROBO1/ROBO2/FOXP1/SLIT2/KCNA2/SEMA7A/PLXNA4/CXCL12/LEF1/ATP1B2,11
BP,GO:0003176,aortic valve development,5/169,43/18888,3.9513424955112026e-5,0.00362060049403508,0.0030470781505345657,ROBO1/ROBO2/CDH11/SLIT2/SLIT3,5
BP,GO:0003170,heart valve development,6/169,73/18888,4.86777008403622e-5,0.004301022567109146,0.0036197177542194154,ROBO1/ROBO2/CDH11/SLIT2/SLIT3/APLNR,6
BP,GO:0003281,ventricular septum development,6/169,74/18888,5.2583914054373764e-5,0.004366184016985027,0.0036745572844302356,ROBO1/ROBO2/SLIT2/SLIT3/APLNR/SOX11,6
BP,GO:0003279,cardiac septum development,7/169,108/18888,5.2944834482437666e-5,0.004366184016985027,0.0036745572844302356,ROBO1/ROBO2/SLIT2/SLIT3/BMP7/APLNR/SOX11,7
BP,GO:1905314,semi-lunar valve development,5/169,47/18888,6.117502024741983e-5,0.0048821612932940855,0.00410880102035302,ROBO1/ROBO2/CDH11/SLIT2/SLIT3,5
BP,GO:0030638,polyketide metabolic process,3/169,10/18888,8.063451816872615e-5,0.005803602002760053,0.004884280628625872,AKR1C1/AKR1C3/AKR1C2,3
BP,GO:0030647,aminoglycoside antibiotic metabolic process,3/169,10/18888,8.063451816872615e-5,0.005803602002760053,0.004884280628625872,AKR1C1/AKR1C3/AKR1C2,3
BP,GO:0044598,doxorubicin metabolic process,3/169,10/18888,8.063451816872615e-5,0.005803602002760053,0.004884280628625872,AKR1C1/AKR1C3/AKR1C2,3
BP,GO:0050770,regulation of axonogenesis,8/169,156/18888,8.210431289272509e-5,0.005803602002760053,0.004884280628625872,THY1/NEFL/ROBO1/ROBO2/SLIT2/SEMA7A/PLXNA4/CXCL12,8
BP,GO:0031589,cell-substrate adhesion,12/169,359/18888,9.720185607215703e-5,0.006509195006690466,0.0054781039540627765,THY1/APOD/CDH11/POSTN/AJAP1/FOXF1/FREM1/ITGBL1/NTN4/ATP1B2/COL5A3/COL8A1,12
BP,GO:0031346,positive regulation of cell projection organization,12/169,360/18888,9.978364688629341e-5,0.006509195006690466,0.0054781039540627765,NEFL/ROBO1/ROBO2/GPM6A/SLIT2/PLPPR5/SEMA7A/BMP7/TENM1/PLXNA4/CXCL12/ATP1B2,12
BP,GO:0003197,endocardial cushion development,5/169,52/18888,9.997955143663609e-5,0.006509195006690466,0.0054781039540627765,ROBO1/ROBO2/BMP7/FOXF1/APLNR,5
BP,GO:0003272,endocardial cushion formation,4/169,28/18888,1.0708741372186859e-4,0.006793186193535972,0.005717109428929989,ROBO1/ROBO2/BMP7/APLNR,4
